CountryCode,Language,IsOfficial,Percentage,_metadata_timestamp,_metadata_read_timestamp,_metadata_read_method,_metadata_source_type,_metadata_deleted,_metadata_change_type,_metadata_uuid,_metadata_log_file,_metadata_log_position
MHL,English,T,0,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,19dcf917-9611-46ff-8319-9de3d10e589c,,0
TJK,Tadzhik,T,62.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,44f73c68-5732-499f-8788-f04c0a3cabd3,,0
GIB,English,T,88.9,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,89e23775-a892-4c32-9c2a-82d0f289c37f,,0
VUT,French,T,14.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,0b08787e-f936-40a2-80e8-01f0c3b1aeeb,,0
LKA,Mixed Languages,F,19.6,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,bcc3473a-44a7-4830-be60-4d88c784fb49,,0
SLE,Mende,F,34.8,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,2109f08f-7d8d-4466-ae84-d498d0bdf261,,0
SMR,Italian,T,100,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,fa125f7a-0672-4a07-81ad-9b52fa72ef5e,,0
GUM,Philippene Languages,F,19.7,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,a18946cf-9fd1-44ad-8d55-8ab3b9f2e6a3,,0
PRI,Spanish,T,51.3,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,b5c9ecc0-6105-47b8-843e-558554cc8574,,0
WSM,English,T,0.6,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,82d20304-679d-41d9-b671-b7b348449c0f,,0
CCK,English,T,0,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,1fae6f77-bc21-4fc7-968d-e81b1ea70c11,,0
TGO,Naudemba,F,4.1,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,0198bef5-b920-4e67-9b03-71f427f0beee,,0
DEU,Turkish,F,2.6,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,1ec1ff6f-0aaf-47ea-b117-c0b0955fe9e5,,0
UGA,Acholi,F,4.4,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,5e138fb2-f4f8-4b4c-95d2-a7bf79042298,,0
TTO,Hindi,F,3.4,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,44b2ed10-42ab-4709-ae84-7a0725839658,,0
DOM,Creole French,F,2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,33b07158-3edd-460d-bd16-1278da538e11,,0
NAM,Caprivi,F,4.7,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,798a6949-9195-4d4d-a6e3-8dec699efcbe,,0
ITA,Slovene,F,0.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,12ff23e8-dcf3-44cb-8d14-600760f82c50,,0
ETH,Tigrinja,F,7.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,2b1b9735-c502-4e6c-ab88-b059542df5e8,,0
IND,Asami,F,1.5,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,82cad0d9-d557-4248-84d1-c0d129666d9f,,0
